Unnamed: 0,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
125314,10509957,HZ251464,5/4/2016 16:00,047XX N CENTRAL PARK AVE,460,BATTERY,SIMPLE,RESIDENCE,FALSE,TRUE,1723,17,33,14,08B,1151534,1931180,2016,5/11/2016 15:50,41.96704069,-87.71821353,"(41.96704069, -87.718213531)"
125709,10509958,HZ251412,5/4/2016 10:20,067XX W GRAND AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,OTHER,FALSE,TRUE,2512,25,36,18,26,1131156,1915217,2016,5/11/2016 15:50,41.92361344,-87.79351167,"(41.923613437, -87.793511665)"
125838,10509959,HZ251283,5/4/2016 16:00,008XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1833,18,42,8,6,1177330,1906499,2016,5/11/2016 15:50,41.89876792,-87.62411633,"(41.898767916, -87.624116333)"
125881,10509960,HZ251386,5/4/2016 17:04,036XX W GRAND AVE,430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESTAURANT,FALSE,FALSE,2535,25,27,23,04B,1151523,1907901,2016,5/11/2016 15:50,41.90316144,-87.71886746,"(41.903161441, -87.718867458)"
126078,10509962,HZ251495,5/4/2016 18:15,031XX W 62ND ST,320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,FALSE,FALSE,823,8,15,66,3,1156358,1863347,2016,5/11/2016 15:50,41.78080364,-87.70230985,"(41.780803643, -87.702309848)"
126930,10509964,HZ251553,5/4/2016 18:00,034XX W OHIO ST,2093,NARCOTICS,FOUND SUSPECT NARCOTICS,RESIDENCE,TRUE,FALSE,1121,11,27,23,18,1153127,1903782,2016,5/11/2016 15:50,41.89182683,-87.71308499,"(41.89182683, -87.713084988)"
127060,10509965,HZ251428,5/4/2016 17:45,020XX N LARRABEE ST,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,STREET,FALSE,FALSE,1812,18,43,7,20,1171945,1913722,2016,5/11/2016 15:50,41.91870866,-87.64368168,"(41.918708663, -87.643681684)"
127191,10509966,HZ251414,5/4/2016 16:00,036XX W 66TH ST,497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,FALSE,FALSE,833,8,13,65,04B,1153292,1860602,2016,5/11/2016 15:50,41.77333213,-87.71362303,"(41.773332131, -87.713623033)"
127818,10509968,HZ251536,5/4/2016 16:40,001XX N MICHIGAN AVE,890,THEFT,FROM BUILDING,RESTAURANT,FALSE,FALSE,111,1,42,32,6,1177270,1901551,2016,5/11/2016 15:50,41.88519172,-87.62448685,"(41.885191719, -87.624486846)"
128254,10509971,HZ251480,5/4/2016 18:00,016XX W OLIVE AVE,1330,CRIMINAL TRESPASS,TO LAND,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,2012,20,40,77,26,1164322,1937557,2016,5/11/2016 15:50,41.98427785,-87.67101243,"(41.984277849, -87.671012432)"
128339,10509974,HZ251550,5/4/2016 18:24,106XX S HALSTED ST,502P,OTHER OFFENSE,FALSE/STOLEN/ALTERED TRP,STREET,TRUE,FALSE,2233,22,34,49,26,1172868,1834252,2016,5/11/2016 15:50,41.70061469,-87.64263712,"(41.700614688, -87.64263712)"
